nohup: ignoring input
INFO:wikiedits.wiki_edit_extractor:Processed Revisions: 1805000
INFO:wikiedits.wiki_edit_extractor:Processed Revisions: 1810000
INFO:wikiedits.wiki_edit_extractor:Processed Revisions: 1815000
INFO:wikiedits.wiki_edit_extractor:Processed Revisions: 1820000
INFO:wikiedits.wiki_edit_extractor:Processed Revisions: 1825000
INFO:wikiedits.wiki_edit_extractor:Processed Revisions: 1830000
INFO:wikiedits.wiki_edit_extractor:Processed Edits: 16000
INFO:wikiedits.wiki_edit_extractor:Processed Revisions: 1835000
INFO:wikiedits.wiki_edit_extractor:Processed Revisions: 1840000
INFO:wikiedits.wiki_edit_extractor:Processed Revisions: 1845000
INFO:wikiedits.wiki_edit_extractor:Processed Edits: 16500
INFO:wikiedits.wiki_edit_extractor:Processed Revisions: 1850000
INFO:wikiedits.wiki_edit_extractor:Processed Revisions: 1855000
INFO:wikiedits.wiki_edit_extractor:Processed Revisions: 1860000
INFO:wikiedits.wiki_edit_extractor:Processed Edits: 17000
INFO:wikiedits.wiki_edit_extractor:Processed Revisions: 1865000
INFO:wikiedits.wiki_edit_extractor:Processed Revisions: 1870000
INFO:wikiedits.wiki_edit_extractor:Processed Edits: 19000
INFO:wikiedits.wiki_edit_extractor:Processed Revisions: 1875000
INFO:wikiedits.wiki_edit_extractor:Processed Revisions: 1880000
INFO:wikiedits.wiki_edit_extractor:Processed Revisions: 1885000
INFO:wikiedits.wiki_edit_extractor:Processed Revisions: 1890000
INFO:wikiedits.wiki_edit_extractor:Processed Revisions: 1895000
INFO:wikiedits.wiki_edit_extractor:Processed Edits: 19500
INFO:wikiedits.wiki_edit_extractor:Processed Revisions: 1900000
INFO:wikiedits.wiki_edit_extractor:Processed Revisions: 1905000
INFO:wikiedits.wiki_edit_extractor:Processed Revisions: 1910000
